epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,6930.1,0.96798,0.42282,1.02949,0.98584,0.95122,0.97902,0.73004,1.02924,0.35771,1.03948,0.006964,0.006964,0.006964
94,7007.23,0.97951,0.42509,1.03859,0.98151,0.9549,0.98011,0.73215,1.02795,0.35726,1.0412,0.006931,0.006931,0.006931
95,7084.36,0.96573,0.4223,1.02888,0.9822,0.95516,0.97962,0.7318,1.02749,0.35448,1.04117,0.006898,0.006898,0.006898
96,7162.19,0.97359,0.42389,1.02869,0.98084,0.95633,0.97992,0.72949,1.02877,0.35443,1.04038,0.006865,0.006865,0.006865
97,7239.3,0.96538,0.42041,1.02898,0.97811,0.95654,0.97922,0.73078,1.03133,0.35603,1.04063,0.006832,0.006832,0.006832
98,7316.27,0.96845,0.42295,1.03296,0.98085,0.95399,0.97932,0.7319,1.0304,0.35773,1.04007,0.006799,0.006799,0.006799
99,7393.23,0.95947,0.41819,1.0184,0.98177,0.95676,0.98009,0.73068,1.03277,0.35584,1.03932,0.006766,0.006766,0.006766
100,7470.72,0.95832,0.41691,1.02178,0.98087,0.95785,0.98006,0.72967,1.03219,0.35341,1.03824,0.006733,0.006733,0.006733
101,7547.99,0.96431,0.42278,1.0296,0.97773,0.96014,0.9799,0.72948,1.03078,0.35303,1.03855,0.0067,0.0067,0.0067
102,7625.09,0.95963,0.42214,1.02576,0.98448,0.9535,0.98001,0.73018,1.02991,0.35311,1.03907,0.006667,0.006667,0.006667
103,7702.09,0.95897,0.41748,1.02141,0.98312,0.9553,0.9805,0.7301,1.02948,0.35187,1.03928,0.006634,0.006634,0.006634
104,7780.93,0.94952,0.41136,1.02071,0.98063,0.95626,0.98006,0.731,1.03058,0.35208,1.03997,0.006601,0.006601,0.006601
105,7859.74,0.96513,0.42069,1.02676,0.97731,0.96139,0.97979,0.72964,1.03302,0.35115,1.04075,0.006568,0.006568,0.006568
106,7938.19,0.95686,0.41561,1.02753,0.98091,0.95985,0.98007,0.73185,1.03354,0.34904,1.04074,0.006535,0.006535,0.006535
107,8015.07,0.95127,0.41518,1.02149,0.99006,0.95316,0.98025,0.7323,1.03303,0.34974,1.04062,0.006502,0.006502,0.006502
